Plant Id,"Combined Heat And
Power Plant",Nuclear Unit Id,Plant Name,Operator Name,Operator Id,Plant State,Census Region,NERC Region,Reserved,NAICS Code,EIA Sector Number,Sector Name,"Reported
Prime Mover","Reported
Fuel Type Code","AER
Fuel Type Code","Balancing
Authority Code","Respondent
Frequency","Physical
Unit Label","Quantity
January","Quantity
February","Quantity
March","Quantity
April","Quantity
May","Quantity
June","Quantity
July","Quantity
August","Quantity
September","Quantity
October","Quantity
November","Quantity
December","Elec_Quantity
January","Elec_Quantity
February","Elec_Quantity
March","Elec_Quantity
April","Elec_Quantity
May","Elec_Quantity
June","Elec_Quantity
July","Elec_Quantity
August","Elec_Quantity
September","Elec_Quantity
October","Elec_Quantity
November","Elec_Quantity
December","MMBtuPer_Unit
January","MMBtuPer_Unit
February","MMBtuPer_Unit
March","MMBtuPer_Unit
April","MMBtuPer_Unit
May","MMBtuPer_Unit
June","MMBtuPer_Unit
July","MMBtuPer_Unit
August","MMBtuPer_Unit
September","MMBtuPer_Unit
October","MMBtuPer_Unit
November","MMBtuPer_Unit
December","Tot_MMBtu
January","Tot_MMBtu
February","Tot_MMBtu
March","Tot_MMBtu
April","Tot_MMBtu
May","Tot_MMBtu
June","Tot_MMBtu
July","Tot_MMBtu
August","Tot_MMBtu
September","Tot_MMBtu
October","Tot_MMBtu
November","Tot_MMBtu
December","Elec_MMBtu
January","Elec_MMBtu
February","Elec_MMBtu
March","Elec_MMBtu
April","Elec_MMBtu
May","Elec_MMBtu
June","Elec_MMBtu
July","Elec_MMBtu
August","Elec_MMBtu
September","Elec_MMBtu
October","Elec_MMBtu
November","Elec_MMBtu
December","Netgen
January","Netgen
February","Netgen
March","Netgen
April","Netgen
May","Netgen
June","Netgen
July","Netgen
August","Netgen
September","Netgen
October","Netgen
November","Netgen
December","Total Fuel Consumption
Quantity","Electric Fuel Consumption
Quantity","Total Fuel Consumption
MMBtu","Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",YEAR
1,N,.,Sand Point,"TDX Sand Point Generating, LLC",63560,AK,PACN,,,22,1,Electric Utility,IC,DFO,DFO,,A,barrels,466,514,556,535,277,372,363,524,679,674,526,585,466,514,556,535,277,372,363,524,679,674,526,585,5.846,5.846,5.846,5.846,5.846,5.846,5.846,5.846,5.846,5.846,5.846,5.846,2724,3005,3250,3128,1619,2175,2122,3063,3969,3940,3075,3420,2724,3005,3250,3128,1619,2175,2122,3063,3969,3940,3075,3420,208.841,231.25,250.099,240.409,124.504,167.13,163.329,235.54,305.071,303.095,236.655,263.077,6071,6071,35490,35490,2729.0,2021
1,N,.,Sand Point,"TDX Sand Point Generating, LLC",63560,AK,PACN,,,22,1,Electric Utility,WT,WND,WND,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,78,97,77,91,94,111,113,115,117,66,122,103,78,97,77,91,94,111,113,115,117,66,122,11.609,8.836,11.011,8.745,10.329,10.673,12.572,12.738,13.051,13.182,7.49,13.764,0,0,1184,1184,134.0,2021
90,N,.,Snake River,Nome Joint Utility Systems,13642,AK,PACN,,,22,1,Electric Utility,IC,DFO,DFO,,A,barrels,3551,3932,4252,4088,2117,2842,2777,4005,5187,5153,4024,4473,3551,3932,4252,4088,2117,2842,2777,4005,5187,5153,4024,4473,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,20596,22806,24662,23710,12279,16484,16107,23229,30085,29887,23339,25943,20596,22806,24662,23710,12279,16484,16107,23229,30085,29887,23339,25943,2400.965,2658.571,2875.263,2763.863,1431.362,1921.414,1877.709,2707.886,3507.256,3484.534,2720.705,3024.472,46401,46401,269127,269127,31374.0,2021
90,N,.,Snake River,Nome Joint Utility Systems,13642,AK,PACN,,,22,1,Electric Utility,WT,WND,WND,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632,1242,1548,1229,1452,1500,1767,1791,1835,1853,1053,1935,1632,1242,1548,1229,1452,1500,1767,1791,1835,1853,1053,1935,184.495,140.449,175.033,139.011,164.189,169.653,199.846,202.478,207.46,209.538,119.062,218.786,0,0,18837,18837,2130.0,2021
508,N,.,Lamar Plant,City of Lamar - (CO),10633,CO,MTN,WECC,,22,1,Electric Utility,ST,DFO,DFO,PSCO,A,barrels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
508,N,.,Lamar Plant,City of Lamar - (CO),10633,CO,MTN,WECC,,22,1,Electric Utility,ST,NG,NG,PSCO,A,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
508,N,.,Lamar Plant,City of Lamar - (CO),10633,CO,MTN,WECC,,22,1,Electric Utility,ST,SUB,COL,PSCO,A,short tons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
508,N,.,Lamar Plant,City of Lamar - (CO),10633,CO,MTN,WECC,,22,1,Electric Utility,WT,WND,WND,PSCO,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10060,6757,10378,10068,9344,8267,8552,9076,8666,9512,9719,12310,10060,6757,10378,10068,9344,8267,8552,9076,8666,9512,9719,12310,1137.468,764.047,1173.504,1138.345,1056.58,934.717,966.945,1026.182,979.891,1075.523,1098.927,1391.871,0,0,112709,112709,12744.0,2021
944,N,.,Geneseo,City of Geneseo - (IL),7095,IL,ENC,MRO,,22,1,Electric Utility,IC,DFO,DFO,MISO,M,barrels,12,630,14,48,24,18,11,37,13,12,145,8,12,630,14,48,24,18,11,37,13,12,145,8,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,5.67,68,3572,79,272,136,102,62,210,74,68,822,45,68,3572,79,272,136,102,62,210,74,68,822,45,-29.587,338.91,-25.693,83.708,-22.841,20.806,-24.625,88.201,-24.682,-22.683,682.212,-29.385,972,972,5510,5510,1034.341,2021
944,N,.,Geneseo,City of Geneseo - (IL),7095,IL,ENC,MRO,,22,1,Electric Utility,IC,NG,NG,MISO,M,mcf,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,-0.413,0.09,-0.307,0.292,-0.159,0.194,-0.375,0.799,-0.318,-0.317,0.788,-0.615,13,13,13,13,-0.341,2021
