,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR,operation_yrs_grp
0,90,,0.0,0.0,2.0,1688.0,1918.0,2044.0,2468.0,2383.0,2130.0,9,116.9562564903853,3
1,508,13255.0,21978.0,10359.0,9806.0,10343.0,10580.0,10596.0,9950.0,13232.0,12744.0,10,-0.3923708772808232,3
2,692,17493.0,17893.0,10317.0,14703.0,8182.0,18217.0,17439.0,15534.0,16121.0,18094.0,10,0.3383670802802774,3
3,944,7217.0,5.0,6962.0,6956.0,6574.0,6290.15,5890.0,6240.0,5855.0,6159.0,10,-1.5727503311748325,3
4,1172,4877.0,4719.0,5191.0,5023.0,4600.0,3724.0,4216.0,4276.0,4373.0,4206.0,10,-1.4692811511731851,3
5,1998,3266.0,3870.0,3813.0,3596.0,3445.0,3246.0,2970.0,2779.0,3077.0,2710.0,10,-1.8488683926861205,3
6,2022,7559.0,4909.0,7255.0,7806.0,7505.0,6263.0,5374.0,6208.0,7158.0,5832.0,10,-2.560439369013101,3
7,2024,0.0,14865.0,16249.0,13682.0,13682.0,14847.0,13205.0,13144.0,10805.0,10736.0,10,-3.2016935899030097,3
8,6304,2955.0,1196.0,4542.0,3239.0,3991.0,3778.0,4960.0,1788.93,3983.0,2649.0,10,-1.087211076564465,3
9,7381,12172.0,12196.0,10936.0,12220.0,12586.0,11177.0,12290.0,12151.0,12250.0,10970.0,10,-1.0343529705900023,3
10,7501,3988.0,4038.0,4370.0,4903.0,3900.0,5088.0,3919.0,3681.0,4133.0,3919.0,10,-0.17438110797820539,3
11,7526,514745.0,617658.0,562350.0,570308.0,562352.0,532777.0,564781.0,522352.0,555775.0,657555.0,10,2.47879138190632,3
12,7771,,,10472.22,9445.0,10692.0,12350.0,9306.0,7568.0,10066.0,9736.0,8,-0.9070572033669011,3
13,7855,2353.0,1651.0,1644.0,2480.0,1412.0,1860.0,1528.0,1655.0,2213.0,1383.0,10,-5.175617052063542,3
14,7886,20277.0,19017.0,17717.0,16758.0,16099.0,16460.0,15404.0,15977.0,17543.0,14911.0,10,-3.027117101701038,3
15,7936,258053.0,224897.0,244273.0,211208.0,245759.0,212782.0,237801.0,196564.0,267382.0,243643.0,10,-0.5729617874500659,3
16,7965,2598.0,2834.0,2723.0,2360.0,2212.0,2407.0,2330.0,2363.0,2451.0,2244.0,10,-1.4541430208843908,3
17,7966,4982.0,5314.0,5465.0,2741.0,0.0,1108.0,4068.0,4386.0,5125.0,4739.0,10,-0.4988045562287158,3
18,7974,4824.0,4743.0,3990.0,2895.0,5157.0,3286.0,1208.0,1566.0,949.0,589.0,10,-18.96534274471141,3
19,10005,23258.0,24822.0,24587.0,27126.0,,21030.0,9474.0,13972.0,9553.0,14693.0,9,-4.97506787909987,3
20,10191,14343.0,13228.0,13895.0,12097.0,15248.0,14072.0,14337.0,14038.0,13800.0,15163.0,10,0.5575106536091834,3
21,10586,168645.0,162659.0,176326.0,152363.0,173868.0,167738.0,151385.0,153820.0,147797.0,171680.0,10,0.17852281269932213,3
22,10597,62838.0,63019.0,66775.0,53707.0,55674.0,48346.0,45134.0,43666.0,39458.0,42510.0,10,-3.8328213076315065,3
23,10718,30489.0,28584.0,23329.0,28552.0,27156.0,26991.0,31227.0,30699.0,29328.0,30500.0,10,0.0036072729567848683,3
24,10823,1643.4,1171.17,,1557.27,2072.07,2076.03,1791.9,2036.43,1883.97,1469.16,9,-1.2375722740430084,3
25,50276,9767.0,7626.0,7850.0,3110.0,2295.0,2044.0,358.0,71.0,582.0,81.0,10,-38.0740920158533,3
26,50281,74539.0,78855.0,69706.0,80645.0,88967.0,87582.0,91854.0,88707.0,85980.0,77280.0,10,0.3617799651929987,3
27,50532,0.0,25055.0,25410.0,20576.0,20410.0,22929.0,22219.0,20612.0,21799.0,23445.0,10,-0.6619608805358834,3
28,50533,30473.0,32420.0,32333.0,31806.0,32833.0,31822.0,29908.0,30876.0,,117697.0,9,16.199852218142198,3
29,50536,110279.0,162677.0,172090.0,130557.0,136626.0,138302.0,121860.0,99861.0,36984.0,41805.0,10,-9.244377321125775,3
30,50552,71929.0,66611.0,56710.0,57036.0,57869.0,56819.0,63695.0,47929.0,33916.0,42473.0,10,-5.131749534822017,3
31,50553,44665.0,46688.0,46637.0,43200.0,44987.0,43827.0,37618.0,28500.0,29640.0,25666.0,10,-5.389555006628955,3
32,50690,125992.0,121571.0,111118.0,114519.0,110141.0,110549.0,120084.0,118956.0,121948.0,132842.0,10,0.53082429847775,3
33,50754,65450.0,62709.0,55517.0,54537.0,65658.0,62262.0,64995.0,58543.0,62223.0,68348.0,10,0.4341980121098654,3
34,50820,15156.0,,4819.0,4879.71,7125.0,6615.0,7425.0,6411.0,7102.0,5949.0,9,-9.869192172933005,3
35,50821,28670.0,44089.0,35493.0,27245.0,36900.0,34238.0,62516.0,52089.0,97991.0,94836.0,10,12.707950741827068,3
36,52162,14816.0,18640.0,16839.0,13347.0,16012.0,16521.0,15766.0,12194.0,0.0,53595.63,10,13.720782954107458,3
37,52163,19584.0,25968.0,22336.0,17296.0,20601.0,16355.0,18824.0,16181.0,0.0,70905.78,10,13.730781612962906,3
38,54298,28740.0,26587.0,22464.0,20437.0,28310.0,25885.0,26476.0,25544.0,27712.0,19184.0,10,-3.9615283301305926,3
39,54453,44345.0,33518.0,31274.0,30211.0,26039.0,23308.0,3484.0,12660.0,20921.0,24288.0,10,-5.8425454046870495,3
40,54454,178487.0,182188.0,185544.0,180105.0,187884.0,163933.0,184919.0,182515.0,184353.0,183137.0,10,0.25751838242074054,3
41,54686,43359.0,38733.0,36690.0,34060.0,37610.0,,34847.0,23451.0,24544.0,27921.0,9,-4.772737190664245,3
42,54793,275556.0,216668.0,196897.0,203276.0,222302.0,214578.0,192916.0,189892.0,207288.0,98349.0,10,-9.789724809591894,3
43,54909,50812.0,48656.0,46726.0,35278.0,48993.0,48641.0,48422.0,47619.0,43524.0,48827.0,10,-0.39769816402036584,3
44,54979,67387.0,77283.0,85997.0,72854.0,69842.0,54863.0,36747.0,65121.0,73449.0,60644.0,10,-1.048775776714539,3
45,55125,69380.0,63440.0,67562.0,62338.0,76522.0,63777.0,67548.0,57529.0,83624.0,68658.0,10,-0.10455513277175532,3
46,55208,246339.0,213709.0,235602.0,230792.0,224577.0,232962.0,210211.0,205402.0,243159.0,237212.0,10,-0.3768319995818836,3
47,55265,277247.0,236064.0,272217.0,280610.0,280696.0,271661.0,137862.0,57121.0,454995.0,440862.0,10,4.7474794054242375,3
48,55287,195964.0,192947.0,192596.0,185884.0,154290.0,152092.0,134257.0,136692.0,151264.0,153814.0,10,-2.392776971263022,3
49,55342,22839.0,21567.0,22907.0,10915.0,17147.0,12920.0,6848.0,11360.0,32259.0,33983.0,10,4.053924112339358,3
50,55353,28121.0,24227.0,29285.0,27844.0,25809.0,20220.0,19699.0,19416.0,16254.0,16412.0,10,-5.24261331809649,3
