,plant_id,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CAGR_netgen
842,59639,,,2987,2799,1429,1588,2985,1942,416,54,8,-43.10739269
25,50276,9767,7626,7850,3110,2295,2044,358,71,582,81,10,-39.64856794
218,56561,29880,27712,30235,25360,25436,20044,20475,10247,5427,282,10,-39.93518586
455,57258,5330,5323,5389,4607,4351,2005,2792,1357,533,509,10,-22.95773628
1032,62736,,,,,,,,143,539,533,3,-0.558143894
18,7974,4824,4743,3990,2895,5157,3286,1208,1566,949,589,10,-20.68775536
782,59024,,899,995,665,752,787,834,1042,770,780,9,-2.997273748
70,55782,4950,4305,5057,4711,4506,4442,2432,1462,725,841,10,-16.59299288
118,56215,532,1779,1912,2048,4024,5073,3475,1472,1806,960,10,-6.624528148
115,56210,6355,6197,7006,6483,6254,5993,5096,892,2434,1081,10,-17.63584557
13,7855,2353,1651,1644,2480,1412,1860,1528,1655,2213,1383,10,-1.948827883
24,10823,1643.4,1171.17,,1557.27,2072.07,2076.03,1791.9,2036.43,1883.97,1469.16,9,-89.51755315
667,58104,78,1594,1602,1521,1425,1442,1592,1479,1335,1475,10,-0.858390064
231,56602,178874,155351,163043,151205,170880,172135,153705,119748,53530,1538,10,-40.11837366
853,59735,,,,3062,2921,4638,3023,4058,2423,1584,7,-9.696634405
219,56562,31114,32147,31558,27934,28685,20108,21067,15877,5873,1605,10,-28.32453657
657,58065,1081,2498,2125,1778,1933,2202,1264,1508,1663,1656,10,-4.464869799
114,56203,6122,5755,6169,4471,96,1615,2447,1764,1689,1658,10,-12.91390843
562,57648,3692.7,3671,2460.15,2489,1670,1233.49,2630,1211,1849,1674,10,-8.355185483
53,55368,12019,9479,9409,13442,12528,7729,4524,3001,2213,1686,10,-17.45757431
1031,62642,,,,,,,,5,4,1733,3,1981.46583
668,58105,15,1025,1760,1889,1985,1995,1638,1616,1755,1756,10,6.164140867
404,57106,3547,3141,3107,2837,2772,2761,2981,2899,883,1918,10,-5.333166253
542,57594,2153,2148,1830,1598,1563,1839,1920,2006,1760,1991,10,-0.839788923
160,56376,3554,3547,3094,3533,3216,3602,3087,2666,2416,2081,10,-5.752925804
0,90,,,,2,1688,1918,2044,2468,2383,2130,7,3.952401509
80,55944,2375,2496,2406,2538,2400,2423,2183,2480,2478,2171,10,-1.538066387
302,56800,3966,3129.39,4417,4707,4209,4003,4922,4003,3199,2202,10,-3.829973433
16,7965,2598,2834,2723,2360,2212,2407,2330,2363,2451,2244,10,-2.560310891
697,58407,,3485.79,3889,3696,3453,2706,3115,1743,2835,2431,9,-5.70397689
810,59301,,,,,712,2825,2667,2810,2889,2466,6,-2.681608093
770,58958,,2699,3003,2961,3083,2833,2664,2741,2713,2470,9,-2.412834749
813,59306,,,,,876,2669,2591,2570,2478,2481,6,-1.450224768
226,56590,3853,3842,4173,3748,1487,2934,2892,1724,2008,2587,10,-4.299225607
8,6304,2955,1196,4542,3239,3991,3778,4960,1788.93,3983,2649,10,9.237639946
5,1998,3266,3870,3813,3596,3445,3246,2970,2779,3077,2710,10,-3.881611557
560,57643,3381,2654.19,3402,2751,3378,2898,3122,2802.76,2681,2791,10,0.56001147
585,57767,3473,3,3415,3223,2983,3468,3050,3120,2857,2871,10,114.3939064
848,59724,,,,2738,3506,3730,2816,3210,3375,2938,7,-2.902813344
613,57880,4192,3765,3171,3877,3067,3077,2796,2744,2745,2945,10,-2.692413255
816,59313,,,,,,2622,2975,3315,3077,2969,5,-0.050458346
552,57626,1609,2139,2235,2324,2719,3500,2662,2693,2440,3008,10,3.860855165
812,59305,,,,,1064,3326,3096,3282,3303,3077,6,-1.544257833
984,61775,,,,,,,3,2810,3200,3100,4,3.32810341
874,60126,,,,,2611,3664,3260,3425,3319,3208,6,-2.623137156
664,58101,115,2638,2682,2580,2882,3329,2939,3220,2935,3255,10,2.362715916
454,57257,2928,3566,3531.33,2558,4094,4426.48,3430,3949,4234,3422,10,-0.456945523
605,57855,3427,3477,2261,3604,3970,3989,3978,3901,3774,3637,10,0.501132746
713,58511,,1600,4500,4000,4446,2607,4498,3970,3849,3654,9,-2.569595938
992,61848,,,,,,10942,10038,9058,7581,3674,5,-22.21909532
545,57613,5475,5556.87,5991,5230,5180,5360,4907,5332,3878,3691,10,-4.444191852
665,58102,88,3346,3499.65,2926,3367,3856,3293,3862,3484,3760,10,1.3045848
77,55809,4099,3524,3999,3110,3684,3736,3318,2961,3127,3862,10,1.022845397
10,7501,3988,4038,4370,4903,3900,5088,3919,3681,4133,3919,10,-0.331814948
938,61004,,,,,,,3370,4059,4090,3937,4,-1.012097666
128,56275,4061,3168,3203,266,2492,2316,3799,2037,2822,3940,10,2.452709851
360,56968,3843,3763,3881,3453,3899,3047,4127,3276,3676,3968,10,0.591136778
822,59330,,,210,2440,3891,2983,3870,3971,3507,4050,8,7.507282769
945,61067,,,,,,845,3812,4040,3742,4061,5,1.594459555
173,56413,4361,4770,5586,5325,5195,5051,4109,4280,3208,4086,10,-1.70507192
658,58071,5209,5658,5696,4895,5087,4753,4543,4710,3342,4107,10,-3.497137544
989,61788,,,,,,3769,3000,3377,4429,4121,5,8.260577627
821,59329,,,339.57,2932,4291,3150,4127,4314,3470,4176,8,5.182226704
4,1172,4877,4719,5191,5023,4600,3724,4216,4276,4373,4206,10,-1.270579502
708,58460,,6506,6349,6053,6352,6148,5810,5412,5503,4316,9,-4.710068749
595,57823,4557,4541,4464,4541,4537,4453,4301,4335,4630,4336,10,-0.511962625
502,57414,4452,4859,4858,5018,4987,5060,4270,4776,4968,4343,10,-1.239666501
707,58459,,6178,6134,6072,6149,5808,4803,5764,5625,4359,9,-4.180171951
555,57632,6055,6055.83,5838,5682,5747,5950,5677,5504,5028,4400,10,-3.48683548
820,59328,,,1509,3529,4138,3884,4112,4297,4390,4426,8,3.288362671
937,61002,,,,,1820,5097,4622,4971,5030,4461,6,-2.630370399
56,55566,5618,5135,6204,5597,5297,5053,3848,3231,5498,4476,10,-1.514525628
823,59331,,,74,2463,3936,3433,3509,3670,3400,4539,8,9.125932354
704,58456,,6509,6089,6320,6190,6304,5659,5861,5144,4545,9,-3.589687806
314,56835,27680,26682,28971,24174,27643,27905,22131,19265,14944,4549,10,-17.84517746
904,60541,,,,,6569,6383,5826,5373,5107,4584,6,-6.406874
311,56826,14482,14178,16097,14700,12726,11868,12205,11398,6424,4643,10,-11.66526236
854,59776,,,3878,5181,4741,5103,4670,4739,4115,4653,8,-1.523784179
17,7966,4982,5314,5465,2741,,1108,4068,4386,5125,4739,9,-1.765945869
