,plant_id,YEAR,uptime
0,90,2013,0
1,90,2014,0
148,7927,2013,0
149,7927,2014,0
150,7927,2015,0
151,7927,2016,0
152,7927,2017,0
153,7927,2018,0
154,7927,2019,0
155,7927,2020,0
156,7927,2021,0
181,7966,2016,0
303,50535,2021,0
381,52162,2020,0
391,52163,2020,0
831,55980,2021,0
840,55981,2021,0
872,55995,2013,0
873,55995,2014,0
1059,56123,2020,0
1060,56123,2021,0
1200,56225,2021,0
1898,56447,2021,0
2248,56580,2021,0
2258,56581,2021,0
2894,56779,2021,0
5537,57637,2017,0
5538,57637,2018,0
5539,57637,2019,0
5540,57637,2020,0
5541,57637,2021,0
5548,57638,2018,0
5549,57638,2019,0
5550,57638,2020,0
5551,57638,2021,0
5691,57741,2021,0
6126,57889,2017,0
6739,58162,2021,0
6914,58424,2020,0
6915,58424,2021,0
7013,58474,2013,0
7818,59435,2014,0
8074,60015,2015,0
8127,60128,2015,0
8283,60503,2019,0
8366,60687,2016,0
8503,61066,2017,0
8529,61155,2017,0
8775,62106,2018,0
8788,62110,2018,0
8792,62111,2018,0
8796,62112,2018,0
8902,62653,2019,0
8913,62752,2019,0
8918,62782,2019,0
8996,63578,2020,0
9013,63689,2020,0
9014,63689,2021,0
8450,60987,2017,0.393333333
7436,58940,2014,0.4
7428,58939,2014,0.6
8900,62642,2020,0.754716981
2,90,2015,0.769230769
8899,62642,2019,0.943396226
8866,62478,2020,1.030789826
8858,62442,2018,1.5
30,944,2013,1.666666667
5812,57767,2013,2
8678,61775,2018,2
8498,61056,2017,2.352941176
9031,64053,2020,5.9
7096,58630,2013,8.235294118
5264,57516,2017,11.4875
7928,59655,2015,11.87116564
262,50276,2019,12.03389831
264,50276,2021,13.72881356
9029,64052,2020,16.1
8936,62935,2020,17.2
9027,64051,2020,18.4
8938,62936,2020,22.09722222
2318,56602,2021,24.41269841
8959,63101,2020,26.03670635
7920,59639,2021,27
302,50535,2020,27.15719064
8932,62897,2019,27.8
2188,56561,2021,28.2
8044,59968,2016,29.96634615
8830,62258,2019,39.38988095
7468,58979,2018,44.56821026
7789,59331,2014,46.25
1145,56203,2016,48
6141,57913,2017,48.83916084
8306,60574,2016,51.20888889
8324,60594,2019,51.31960336
8624,61609,2018,59.28502415
261,50276,2018,60.6779661
8172,60256,2016,68.05050505
8957,63100,2020,68.12666667
2745,56752,2018,70.91803279
2755,56753,2018,70.925
8616,61584,2018,72.77777778
301,50535,2019,76.32107023
2617,56661,2020,77.33757062
8720,61866,2019,78.78
8841,62291,2018,79.30493274
8495,61047,2019,81.2409514
8433,60931,2016,84.11764706
8977,63258,2020,88.41700134
8628,61638,2018,91.1894053
7453,58965,2015,93.55348837
8081,60049,2015,95.774156
8277,60502,2016,97.70700637
263,50276,2020,98.6440678
8612,61582,2018,99.98445998
8730,61911,2018,105.4955947
5265,57516,2018,107.5625
1284,56275,2015,110.8333333
8524,61100,2020,111.6449348
6556,58088,2013,112.6165254
8337,60639,2016,113.9199255
8210,60329,2016,114.5614035
8303,60551,2019,115.0666667
8297,60545,2016,116.9429348
8908,62736,2019,119.1666667
8921,62795,2019,119.7960199
7804,59384,2015,120.705
8166,60218,2016,122.725
8234,60354,2016,123.78
8744,61926,2018,125.1799434
8360,60672,2016,134.1413639
8928,62871,2020,134.9797844
1026,56106,2017,138.5714286
8850,62380,2019,138.625
6804,58321,2013,143.0066667
5268,57516,2021,145.175
8088,60059,2015,146.1545455
8880,62563,2020,150.2075
8736,61921,2018,151.29
7503,58999,2015,159.5
2198,56562,2021,160.5
7155,58686,2016,160.7647059
9033,64057,2020,162.07
8952,63030,2019,162.4274155
6913,58424,2019,163.8888889
8488,61040,2017,164.28
7333,58885,2014,164.5652174
7358,58891,2014,165.45
1190,56215,2021,165.5172414
296,50535,2014,167.458194
300,50535,2018,169.0635452
299,50535,2017,174.2474916
8251,60404,2016,176.8131868
8331,60620,2016,177.9212674
5484,57623,2019,178.8109162
9005,63641,2020,179.2
8882,62566,2019,179.5904096
8568,61330,2017,181.7121212
8483,61039,2017,185.9
8968,63132,2020,187.5344353
8134,60132,2016,188.6893204
7562,59066,2017,191.1447368
7279,58830,2014,192.6936937
7900,59629,2016,197.1685972
4975,57385,2018,197.8666667
8901,62642,2021,199.1954023
7919,59639,2020,208
7841,59460,2015,209.0367893
8035,59953,2019,209.7222222
7781,59330,2014,210
6460,58035,2016,210.4333333
6127,57889,2018,215.125
8875,62494,2020,216.032
7606,59118,2015,216.6242424
8979,63269,2020,218.1605184
3872,57048,2020,219.82
8804,62132,2018,220.416
8545,61222,2017,222.2391304
7921,59654,2015,223.5897436
409,54453,2018,224.7741935
8114,60104,2015,226.0072087
196,7974,2021,226.5384615
8930,62891,2020,226.9313725
7341,58886,2014,227.7698864
9002,63639,2020,231.1476868
8676,61773,2020,231.2974465
5461,57617,2016,236.644
8191,60270,2018,241.361186
8672,61756,2018,242.3453094
298,50535,2016,242.8428094
1193,56225,2014,243
8519,61079,2017,243.4941176
8748,61957,2018,243.8521561
7540,59034,2015,244.1862745
9041,64377,2020,244.7472121
7686,59284,2014,248.4271357
2725,56750,2018,252.8
9011,63687,2020,253.7066667
80,6304,2013,254.4680851
541,55368,2021,255.4545455
8445,60983,2017,256.8258706
8004,59837,2015,257.0266667
8895,62624,2020,261.0274841
81,6304,2014,261.0344828
8887,62591,2020,261.3351933
9035,64074,2020,263.8732394
7166,58691,2016,265.2307692
7552,59063,2018,266.7014925
3945,57087,2013,267.1
4548,57258,2021,267.8947368
8940,62938,2019,268.950328
8761,62035,2019,270.3731696
7178,58694,2018,271.2924528
1778,56424,2021,273.7310415
8985,63389,2020,273.8961365
8024,59903,2018,274.53
8812,62142,2020,275.136
7733,59312,2014,276.0547667
8318,60592,2016,278.0992397
2178,56560,2021,278.5588972
4547,57258,2020,280.5263158
8262,60470,2016,283.640873
8808,62133,2018,287.78
7518,59005,2016,288.7760417
6130,57889,2021,290.35
8476,61005,2017,293.1111111
8550,61261,2017,295.4563107
7725,59311,2014,295.6733668
9025,63988,2020,298.936
7547,59061,2017,307.4856115
3732,56985,2019,309.8585859
297,50535,2015,311.3043478
1189,56215,2020,311.3793103
8975,63251,2020,316.5063291
1742,56414,2013,317.3823529
8966,63114,2020,317.94
8354,60657,2016,320.7528736
7172,58692,2016,320.9230769
8920,62782,2021,322
8916,62765,2020,322.7265239
8327,60619,2018,324.2383333
8848,62364,2020,327.516
7047,58580,2013,330.5347594
540,55368,2020,335.3030303
5533,57637,2013,337
7848,59475,2014,338.7555022
7906,59637,2015,339.1375969
7773,59329,2014,339.57
8704,61836,2018,342.0615385
7496,58998,2015,344.335
260,50276,2017,346.440678
9022,63916,2020,347.481203
8563,61303,2017,347.5856307
8095,60069,2015,348.9224572
8343,60645,2016,349.91
6302,57983,2014,355.3649289
5589,57648,2019,356.1764706
6738,58162,2020,357.5
551,55396,2021,358.6060606
7613,59147,2015,360.2
8268,60471,2019,360.5712815
5587,57648,2017,362.7911765
8573,61343,2019,362.8199284
8998,63590,2020,363.035
195,7974,2020,365
8919,62782,2020,366
1199,56225,2020,367.3333333
8712,61848,2021,367.4
8740,61925,2018,369.3713163
1196,56225,2017,370.3333333
7125,58666,2015,373.964497
1188,56215,2019,387.3684211
8184,60262,2015,388.73297
259,50276,2016,388.9830508
7241,58771,2015,396.804
86,6304,2019,397.54
1087,56160,2018,398.4927916
8964,63104,2020,400.2538276
876,55995,2017,401.5492958
6570,58099,2019,403.02
8862,62445,2019,407.7777778
5309,57531,2016,411.6827957
7400,58924,2020,416.8613861
7182,58695,2016,421.165
9037,64309,2020,424.0466667
7111,58658,2016,431.91
8688,61784,2018,433.1160494
7161,58690,2017,437.04
8651,61674,2018,443.2733333
8910,62736,2021,444.1666667
8508,61067,2017,444.7368421
1158,56210,2019,446
8312,60587,2016,449.1630435
8909,62736,2020,449.1666667
539,55368,2019,454.6969697
3144,56835,2021,454.9
6565,58098,2017,456.5808054
2636,56666,2019,463.8781431
3775,57002,2015,464.1351351
193,7974,2018,464.6153846
7091,58620,2017,464.7807018
8911,62745,2020,465.13
5027,57415,2020,465.8939394
7056,58587,2013,466.0119641
7701,59301,2016,474.6666667
8962,63103,2020,476.4548361
182,7966,2017,481.7391304
710,55782,2020,483.3333333
5267,57516,2020,484.5875
5586,57648,2016,491.1764706
8061,59975,2015,491.3333333
5591,57648,2021,492.3529412
1192,56225,2013,502.26
8288,60505,2019,505.325
8216,60338,2016,505.5043478
7302,58837,2020,521.3043478
3564,56959,2021,521.5986395
258,50276,2015,527.1186441
7975,59733,2015,538.06
8140,60143,2016,540.3782895
1160,56210,2021,540.5
2187,56561,2020,542.7
5590,57648,2020,543.8235294
202,10005,2018,544.4827586
204,10005,2020,549.0229885
8582,61357,2017,552.65
7556,59065,2016,556.787037
711,55782,2021,560.6666667
8972,63205,2020,561.4117647
8638,61660,2018,566.4444444
489,55265,2019,570.0698603
5266,57516,2019,571.2125
3164,56837,2021,572
7233,58769,2014,572.2523962
7420,58938,2014,577.3933333
9020,63915,2020,580.315
7719,59306,2016,584
8983,63327,2020,584.5864909
2197,56562,2020,587.3
4042,57106,2020,588.6666667
3174,56838,2021,588.7
8108,60088,2016,601.25
194,7974,2019,602.3076923
312,50536,2020,614.3521595
7225,58768,2014,626.7901235
633,55734,2013,629.1071429
8240,60355,2016,632.4666667
7995,59735,2021,633.6
7678,59245,2017,634.8326898
7746,59314,2016,637.1111111
8271,60486,2016,638.84
7196,58720,2014,642.8508531
3,90,2016,649.2307692
7483,58992,2016,649.4117647
3981,57093,2019,652.6470588
2008,56479,2021,661.7888889
8349,60655,2017,663.8033333
8578,61356,2018,664.3333333
1390,56302,2021,664.9419569
7533,59024,2015,665
8992,63494,2021,666.8090278
508,55342,2018,671.372549
7627,59193,2017,678.8474576
7632,59200,2015,680.7266667
538,55368,2018,685.4545455
8833,62259,2019,690.5866667
7652,59234,2015,694.05
313,50536,2021,694.4352159
1725,56408,2016,701.3095238
8987,63436,2020,706.2666667
1722,56408,2013,708.5714286
7713,59305,2016,709.3333333
8412,60901,2017,710.632
4546,57258,2019,714.2105263
7915,59639,2016,714.5
839,55981,2019,716.5
8228,60342,2016,717.3497177
82,6304,2015,719.7777778
8727,61889,2019,721.1125
5584,57648,2014,723.5735294
550,55396,2020,726.2424242
9018,63914,2020,732.035
5585,57648,2015,732.0588235
8222,60339,2016,733.5347826
4,90,2017,737.6923077
8054,59974,2015,738.12
3552,56956,2019,739.0111111
3184,56839,2021,740.6
1724,56408,2015,742.2619048
5546,57638,2016,745
1723,56408,2014,746.547619
7534,59024,2016,752
3563,56959,2020,755.6122449
8711,61848,2020,758.1
5020,57415,2013,759.1266667
390,52163,2019,763.254717
7666,59238,2014,766.770858
7707,59302,2016,767.5555556
8590,61407,2017,768.6399108
7538,59024,2020,770
388,52163,2017,771.4622642
5588,57648,2018,773.5294118
5547,57638,2017,778
7539,59024,2021,780
8161,60217,2017,780.9578031
7287,58833,2015,785.9666667
5,90,2018,786.1538462
7535,59024,2017,787
7031,58548,2013,790.875
830,55980,2020,792
7916,59639,2017,794
2893,56779,2020,794.12
1195,56225,2016,802.6666667
88,6304,2021,802.7272727
203,10005,2019,802.9885057
6576,58101,2015,806.25
1146,56203,2017,807.5
7982,59734,2015,815.24
386,52163,2015,815.8490566
410,54453,2019,816.7741935
9001,63624,2021,819.209068
8620,61589,2018,819.7142857
6574,58101,2013,824.375
1150,56203,2021,829
7536,59024,2018,834
6575,58101,2014,838.125
84,6304,2017,839.5555556
7022,58511,2013,842.1052632
6522,58065,2018,842.6666667
7065,58594,2013,842.9812834
205,10005,2021,844.4252874
1149,56203,2020,844.5
1288,56275,2019,848.75
2317,56602,2020,849.6825397
9008,63666,2020,859.7538462
7484,58992,2017,860.8823529
441,54793,2021,863.4679543
3983,57093,2021,863.8235294
749,55803,2019,864.1111111
380,52162,2019,864.822695
429,54686,2019,865.3505535
322,50552,2020,871.8766067
701,55769,2021,872.8695652
8713,61858,2018,876.1625
8877,62516,2021,880.8982512
1148,56203,2019,882
5535,57637,2015,882
5543,57638,2013,884
5026,57415,2019,885.137931
83,6304,2016,886.8888889
389,52163,2018,887.9245283
1548,56360,2019,889.1213768
2177,56560,2020,895.9649123
2648,56669,2021,896.8055556
8204,60326,2016,898.6136636
7531,59024,2013,899
6577,58101,2016,900.625
430,54686,2020,905.6826568
