Plant Code,Year,Nameplate Capacity (MW)
1,2019,1.0
1,2020,1.0
1,2021,1.0
90,2013,1.8
90,2014,1.8
90,2015,2.6
90,2016,2.6
90,2017,2.6
90,2018,2.6
90,2019,2.6
90,2020,2.6
90,2021,1.8
508,2013,6.0
508,2014,6.0
508,2015,6.0
508,2016,6.0
508,2017,6.0
508,2018,6.0
508,2019,6.0
508,2020,6.0
508,2021,6.0
692,2013,6.1
692,2014,6.1
692,2015,6.1
692,2016,6.1
692,2017,6.1
692,2018,6.1
692,2019,6.2
692,2020,6.2
692,2021,6.2
944,2013,3.0
944,2014,3.0
944,2015,3.0
944,2016,3.0
944,2017,3.0
944,2018,3.0
944,2019,3.0
944,2020,3.0
944,2021,3.0
1172,2013,1.6
1172,2014,1.6
1172,2015,1.6
1172,2016,1.6
1172,2017,1.6
1172,2018,1.6
1172,2019,1.6
1172,2020,1.6
1172,2021,1.6
1998,2013,1.2
1998,2014,1.2
1998,2015,1.2
1998,2016,1.2
1998,2017,1.2
1998,2018,1.2
1998,2019,1.2
1998,2020,1.2
1998,2021,1.2
2022,2013,4.0
2022,2014,4.0
2022,2015,4.0
2022,2016,4.0
2022,2017,4.0
2022,2018,4.0
2022,2019,4.0
2022,2020,4.0
2022,2021,4.0
2024,2013,5.6
2024,2014,5.6
2024,2015,5.6
2024,2016,5.6
2024,2017,5.6
2024,2018,5.6
2024,2019,5.6
2024,2020,5.6
2024,2021,5.6
2240,2018,40.9
2240,2019,40.9
2240,2020,40.9
2240,2021,40.9
6304,2013,4.7
6304,2014,17.4
6304,2015,4.5
6304,2016,4.5
6304,2017,4.5
6304,2018,4.5
6304,2019,4.5
6304,2020,3.3
6304,2021,3.3
7366,2013,9.2
7366,2014,9.2
7366,2015,9.2
7366,2016,9.2
7366,2017,9.2
7381,2013,6.0
7381,2014,6.0
7381,2015,6.0
7381,2016,6.0
7381,2017,6.0
7381,2018,6.0
7381,2019,6.0
7381,2020,6.0
7381,2021,6.0
7501,2013,3.0
7501,2014,3.0
7501,2015,3.0
7501,2016,3.0
7501,2017,3.0
7501,2018,3.0
7501,2019,3.0
7501,2020,3.0
7501,2021,3.0
7526,2013,228.2
7526,2014,228.2
7526,2015,228.2
7526,2016,228.2
7526,2017,228.2
7526,2018,228.2
7526,2019,228.2
7526,2020,228.2
7526,2021,228.2
7771,2013,3.0
7771,2014,3.0
7771,2015,3.0
7771,2016,3.0
7771,2017,3.0
7771,2018,3.0
7771,2019,3.0
7771,2020,3.0
7771,2021,3.0
7855,2013,1.4
7855,2014,1.4
7855,2015,1.4
7855,2016,1.4
7855,2017,1.4
7855,2018,1.4
7855,2019,1.4
7855,2020,1.4
7855,2021,1.4
7886,2013,11.0
7886,2014,11.0
7886,2015,11.0
7886,2016,11.0
7886,2017,11.0
7886,2018,11.0
7886,2019,11.0
7886,2020,11.0
7886,2021,11.0
