Plant Id,"Reported
Prime Mover",YEAR,Month,Quantity,Elec_Quantity,MMBtuPer_Unit,Tot_MMBtu,Elec_MMBtu,Netgen,date
1,WT,2021,January,0,0,0,103,103,11.609,January 2021
90,WT,2021,January,0,0,0,1632,1632,184.495,January 2021
508,WT,2021,January,0,0,0,10060,10060,1137.468,January 2021
692,WT,2021,January,0,0,0,18480,18480,2089.526,January 2021
944,WT,2021,January,0,0,0,4351,4351,492,January 2021
1172,WT,2021,January,0,0,0,3213,3213,363.255,January 2021
1998,WT,2021,January,0,0,0,1880,1880,212.599,January 2021
2022,WT,2021,January,0,0,0,4046,4046,457.514,January 2021
2024,WT,2021,January,0,0,0,7449,7449,842.23,January 2021
2240,WT,2021,January,0,0,0,0,0,0,January 2021
6304,WT,2021,January,0,0,0,2029,2029,229.449,January 2021
7381,WT,2021,January,0,0,0,9348,9348,1057,January 2021
7501,WT,2021,January,0,0,0,2381,2381,269.203,January 2021
7526,WT,2021,January,0,0,0,216722,216722,24505,January 2021
7771,WT,2021,January,0,0,0,6471,6471,731.737,January 2021
7855,WT,2021,January,0,0,0,960,960,108.495,January 2021
7886,WT,2021,January,0,0,0,9289,9289,1050.32,January 2021
7927,WT,2021,January,0,0,0,0,0,0,January 2021
7936,WT,2021,January,0,0,0,128526,128526,14532.6,January 2021
7965,WT,2021,January,0,0,0,1492,1492,168.653,January 2021
7966,WT,2021,January,0,0,0,3620,3620,409.287,January 2021
7974,WT,2021,January,0,0,0,435,435,49.158,January 2021
10005,WT,2021,January,0,0,0,6767,6767,765.202,January 2021
10191,WT,2021,January,0,0,0,6984,6984,789.68,January 2021
10586,WT,2021,January,0,0,0,79074,79074,8940.977,January 2021
10597,WT,2021,January,0,0,0,19580,19580,2213.891,January 2021
10718,WT,2021,January,0,0,0,14048,14048,1588.418,January 2021
10823,WT,2021,January,0,0,0,1786,1786,201.96,January 2021
50276,WT,2021,January,0,0,0,37,37,4.218,January 2021
50281,WT,2021,January,0,0,0,35594,35594,4024.691,January 2021
50532,WT,2021,January,0,0,0,10799,10799,1221,January 2021
50533,WT,2021,January,.,.,.,.,.,.,January 2021
50535,WT,2021,January,0,0,0,0,0,0,January 2021
50536,WT,2021,January,.,.,.,.,.,.,January 2021
50552,WT,2021,January,0,0,0,19563,19563,2211.964,January 2021
50553,WT,2021,January,0,0,0,11821,11821,1336.667,January 2021
50690,WT,2021,January,0,0,0,61186,61186,6918.319,January 2021
50754,WT,2021,January,0,0,0,31480,31480,3559.518,January 2021
50820,WT,2021,January,0,0,0,2740,2740,309.821,January 2021
50821,WT,2021,January,0,0,0,43680,43680,4938.993,January 2021
52142,WT,2021,January,0,0,0,53561,53561,6056.148,January 2021
52162,WT,2021,January,.,.,.,.,.,.,January 2021
52163,WT,2021,January,.,.,.,.,.,.,January 2021
54298,WT,2021,January,0,0,0,8836,8836,999.089,January 2021
54299,WT,2021,January,0,0,0,3202,3202,362.056,January 2021
54300,WT,2021,January,0,0,0,3147,3147,355.806,January 2021
54453,WT,2021,January,0,0,0,11187,11187,1264.904,January 2021
54454,WT,2021,January,0,0,0,84351,84351,9537.649,January 2021
54647,WT,2021,January,0,0,0,25710,25710,2907.014,January 2021
54686,WT,2021,January,0,0,0,12860,12860,1454.106,January 2021
54750,WT,2021,January,0,0,0,3636,3636,411.166,January 2021
54793,WT,2021,January,0,0,0,75121,75121,8494.012,January 2021
54909,WT,2021,January,0,0,0,22489,22489,2542.877,January 2021
54931,WT,2021,January,0,0,0,69917,69917,7905.64,January 2021
54979,WT,2021,January,0,0,0,44293,44293,5008.307,January 2021
55125,WT,2021,January,0,0,0,23226,23226,2626.218,January 2021
55208,WT,2021,January,0,0,0,164579,164579,18609.085,January 2021
55265,WT,2021,January,0,0,0,305872,305872,34585.257,January 2021
55287,WT,2021,January,0,0,0,117486,117486,13284.302,January 2021
55342,WT,2021,January,0,0,0,23578,23578,2665.939,January 2021
55353,WT,2021,January,0,0,0,11387,11387,1287.507,January 2021
55354,WT,2021,January,0,0,0,21280,21280,2406.115,January 2021
55368,WT,2021,January,0,0,0,975,975,110.227,January 2021
55396,WT,2021,January,0,0,0,2725,2725,308.153,January 2021
55560,WT,2021,January,0,0,0,94551,94551,10690.969,January 2021
