,Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap,cluster
0,90,WT,AK,PACN,,18837,2130,90,Electric Utility,Nome Joint Utility Systems,1.8,1.8,1.8,2,150,33.32352941,19.58823529,425.3582353,43.12941176,-165.4297021,64.56760347,1183.333333,0.11307533,1065,9418.5,0.9,0
1,508,WT,CO,MTN,WECC,112709,12744,508,Electric Utility,City of Lamar - (CO),6,5.5,5.5,4,1500,80,70.5,3903.63,115.2,-102.5570008,37.8986154,2124,0.113069941,3186,28177.25,1.5,0
2,692,WT,WY,MTN,WECC,160021,18094,692,IPP Non-CHP,SRIV Partnership LLC,6.2,6.2,6.2,9,696.6666667,47.77777778,45.88888889,1657.273333,70.72222222,-106.243062,41.83471922,2918.387097,0.113072659,2010.444444,17780.11111,0.688888889,0
3,944,WT,IL,ENC,MRO,54470,6159,944,Electric Utility,City of Geneseo - (IL),3,3,3,2,1500,65,77,4656.63,100,-90.1546705,41.426136,2053,0.113071415,3079.5,27235,1.5,0
4,1172,WT,IA,WNC,MRO,37198,4206,1172,Electric Utility,City of Osage - (IA),1.6,0.5,0.5,1,1500,80,77,4656.63,118.6,-92.840591,43.292492,2628.75,0.113070595,4206,37198,1.6,1
5,2022,WT,MN,WNC,MRO,51578,5832,2022,Electric Utility,Willmar Municipal Utilities,4,4,4,2,2000,80,80,5026.55,120.1,-95.0074615,45.1580095,1458,0.113071465,2916,25789,2,0
6,2024,WT,MN,WNC,MRO,94950,10736,2024,Electric Utility,City of Worthington - (MN),5.6,5.6,5.6,6,916.6666667,70,52.66666667,2179.22,96.3,-95.67885833,43.6213415,1917.142857,0.113070037,1789.333333,15825,0.933333333,0
7,6304,WT,AK,PACN,,23428,2649,6304,Electric Utility,Kotzebue Electric Assn Inc,3.3,3.3,3.3,22,160.8823529,33.58823529,19.82941176,431.8176471,42.07647059,-162.5582257,66.83769841,802.7272727,0.113069831,120.4090909,1064.909091,0.15,0
8,7381,WT,VT,NEW,NPCC,97019,10970,7381,Electric Utility,Green Mountain Power Corp,6,5.2,5,11,590.9090909,40,40,1256.64,60,-72.96306327,42.86176336,1828.333333,0.113070636,997.2727273,8819.909091,0.545454545,0
9,7501,WT,MA,NEW,NPCC,34660,3919,7501,Electric Utility,Town of Princeton - (MA),3,3,3,2,1500,65,77,4656.63,103.5,-71.8996965,42.47789,1306.333333,0.113069821,1959.5,17330,1.5,0
10,7526,WT,CA,PACC,WECC,5815416,657555,7526,Electric Utility,Sacramento Municipal Util Dist,228.2,228.1,228.2,107,1965,69.03846154,70.98076923,4315.265192,104.5134615,-121.7702265,38.112415,2881.485539,0.113071017,6145.373832,54349.68224,2.13271028,1
11,7771,WT,NE,WNC,MRO,86104,9736,7771,IPP Non-CHP,Bluestem LLC,3,3,3,2,1500,65,77,4656.63,103.6,-99.776089,42.826494,3245.333333,0.113072563,4868,43052,1.5,1
12,7855,WT,MN,WNC,MRO,12232,1383,7855,Electric Utility,City of Moorhead - (MN),1.4,1.4,1.4,2,750,55,48,1809.56,78.95,-96.7310755,46.8951265,987.8571429,0.113064094,691.5,6116,0.7,0
13,7886,WT,WI,ENC,MRO,131872,14911,7886,Electric Utility,Madison Gas & Electric Co,11,0.7,0.7,17,660,65,47,1734.94,88.4,-87.64168035,44.65479835,1355.545455,0.113071767,877.1176471,7757.176471,0.647058824,0
15,7936,WT,WA,PACC,WECC,2154779,243643,7936,Electric Utility,Energy Northwest,95.9,95,95,63,1522.222222,64.44444444,68.88888889,3857.701111,98.96666667,-119.1113759,46.1006577,2540.594369,0.113070992,3867.349206,34202.84127,1.522222222,1
16,7965,WT,NE,WNC,MRO,19847,2244,7965,Electric Utility,Lincoln Electric System,1.2,1.4,1.4,2,660,65,47,1734.94,88.4,-96.6248245,40.903761,1870,0.113064947,1122,9923.5,0.6,0
17,7966,WT,IA,WNC,MRO,41912,4739,7966,Electric Utility,City of Algona - (IA),2.3,2.3,2.3,3,750,50,50,1963.5,75,-94.14083333,43.03490167,2060.434783,0.113070242,1579.666667,13970.66667,0.766666667,0
18,7974,WT,SD,WNC,MRO,5209,589,7974,Electric Utility,Basin Electric Power Coop,2.6,2.6,2.6,2,1300,60,60,2827.43,89.9,-99.247841,43.848543,226.5384615,0.113073527,294.5,2604.5,1.3,0
19,10586,WT,CA,PACC,WECC,1518339,171680,10586,IPP Non-CHP,Terra-Gen Operating Co-Wind,59.6,59.6,59.6,114,700,45,44,1520.53,67.1,-118.3091354,35.07903438,2880.536913,0.113070928,1505.964912,13318.76316,0.522807018,0
20,10718,WT,CA,PACC,WECC,269743,30500,10718,IPP Non-CHP,San Gorgonio Farms Inc,11.7,11.7,11.7,12,975,48.25,57.375,2549.11,75.71666667,-116.5590477,33.92097375,2606.837607,0.113070589,2541.666667,22478.58333,0.975,0
21,10823,WT,MA,NEW,NPCC,12994,1469.16,10823,Commercial CHP,Massachusetts Wtr Rauth-Deer I,1.2,1.2,1.2,2,600,34.5,47,1734.94,57.9,-70.956871,42.346472,1224.3,0.113064491,734.58,6497,0.6,0
22,50276,WT,CA,PACC,WECC,716,81,50276,IPP Non-CHP,Wintec Energy Ltd,5.9,5.9,5.9,60,1000,60,47,1734.94,83.5,-116.58709,33.921795,13.72881356,0.113128492,1.35,11.93333333,0.098333333,0
23,50281,WT,CA,PACC,WECC,683464,77280,50281,IPP Non-CHP,San Gorgonio Farms Inc,31,31,31,111,225.3333333,28.59047619,25.02095238,573.7338095,41.53428571,-116.6176472,33.92633829,2492.903226,0.113071062,696.2162162,6157.333333,0.279279279,0
25,50536,WT,CA,PACC,WECC,369724,41805,50536,IPP Non-CHP,Sky River Wind LLC,60.2,60.2,60.2,21,2752.173913,87.82608696,125.5652174,12393.85913,150.5347826,-118.2411886,35.2433363,694.4352159,0.113070831,1990.714286,17605.90476,2.866666667,0
26,50552,WT,CA,PACC,WECC,375632,42473,50552,IPP Non-CHP,Huntsman Wind,38.9,38.9,38.9,52,750,64,50,1963.5,89,-116.7094988,33.91436549,1091.8509,0.113070771,816.7884615,7223.692308,0.748076923,0
27,50553,WT,CA,PACC,WECC,226991,25666,50553,IPP Non-CHP,"Red Marlin Wind Ventures, LLC",20,20,20,8,2500,80,93,6792.91,126.5,-116.4637624,33.88278188,1283.3,0.113070562,3208.25,28373.875,2.5,0
28,50690,WT,CA,PACC,WECC,1174856,132842,50690,IPP Non-CHP,Terra-Gen Operating Co-Wind,43.4,43.4,43.4,62,700,50,47.09677419,1744.295161,73.60322581,-116.5724041,33.89803742,3060.875576,0.113070878,2142.612903,18949.29032,0.7,0
29,50754,WT,CA,PACC,WECC,604470,68348,50754,IPP Non-CHP,Terra-Gen Operating Co-Wind,34.5,34.5,34.5,81,723.5294118,55.73529412,48.85294118,1893.297353,80.06470588,-118.3618353,35.03457547,1981.101449,0.113070955,843.8024691,7462.592593,0.425925926,0
30,54298,WT,CA,PACC,WECC,169663,19184,54298,IPP Non-CHP,Brookfield Renewable Trading and Marketing LP,7.5,7.5,7.5,5,1400,62.5,72.0625,4170.4925,98.55,-118.3410123,35.06328075,2557.866667,0.113071206,3836.8,33932.6,1.5,1
31,54453,WT,CA,PACC,WECC,214802,24288,54453,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",15.5,15.5,15.5,71,1500,80,77,4656.63,118.6,-121.8393733,38.14075217,1566.967742,0.113071573,342.084507,3025.380282,0.218309859,0
32,54454,WT,CA,PACC,WECC,1619665,183137,54454,IPP Non-CHP,"FPL Energy Operating Services, Inc.",49.5,49.5,49.5,33,1500,65,77,4656.63,103.6,-116.5873601,33.91820558,3699.737374,0.113070913,5549.606061,49080.75758,1.5,1
33,54793,WT,IA,WNC,MRO,869798,98349,54793,IPP Non-CHP,Allete Clean Energy,113.9,105.7,105.7,140,750,65,50,1963.5,89.9,-95.32216797,42.71099549,863.4679543,0.113071081,702.4928571,6212.842857,0.813571429,0
34,54909,WT,CA,PACC,WECC,431826,48827,54909,IPP Non-CHP,CalWind Resources Inc,21.9,21.9,21.9,188,660,50,47,1734.94,73.5,-118.2962064,35.11449833,2229.543379,0.113071005,259.7180851,2296.946809,0.116489362,0
35,54979,WT,TX,WSC,TRE,536334,60644,54979,IPP Non-CHP,Terra-Gen Operating Co-Wind,34.3,34.3,34.3,46,763.4782609,66.17391304,48.65217391,1881.570435,90.54130435,-101.4021019,32.19247767,1768.046647,0.113071332,1318.347826,11659.43478,0.745652174,0
36,55125,WT,OR,PACC,WECC,607210,68658,55125,IPP Non-CHP,ESI Vansycle Partners LP,25,25,25,38,660,50,47,1734.94,73.5,-118.6496863,45.93506808,2746.32,0.11307126,1806.789474,15979.21053,0.657894737,0
37,55208,WT,MN,WNC,MRO,2097902,237212,55208,IPP Non-CHP,Allete Clean Energy,107.2,103.5,103.5,139,750,53,48,1809.56,77.1,-96.37900588,44.32671164,2212.798507,0.113071059,1706.561151,15092.82014,0.771223022,0
38,55265,WT,MN,WNC,MRO,3898983,440862,55265,Electric Utility,Northern States Power Co - Minnesota,100.2,103.5,103.5,137,2277.272727,89.09090909,116,10568.32,147.1909091,-96.16141557,44.14969848,4399.820359,0.113071024,3217.970803,28459.72993,0.731386861,1
39,55287,WT,IA,WNC,MRO,1360330,153814,55287,IPP Non-CHP,Allete Clean Energy,80.2,76.5,76.5,102,750,65,50,1963.5,89.9,-95.35127342,42.83704206,1917.880299,0.113071093,1507.980392,13336.56863,0.78627451,0
40,55342,WT,MN,WNC,MRO,300547,33983,55342,IPP Non-CHP,Consolidated Edison Development Inc.,9.2,9.2,9.2,4,2300,80,116,10568.32,138.1,-96.075034,43.990718,3693.804348,0.113070501,8495.75,75136.75,2.3,2
41,55353,WT,MN,WNC,MRO,145149,16412,55353,IPP Non-CHP,Longroad Energy Services LLC,11.2,11.2,11.2,15,816.6666667,56.86666667,47.73333333,1789.661333,80.66,-96.43564473,44.3841118,1465.357143,0.113070018,1094.133333,9676.6,0.746666667,0
42,55354,WT,MN,WNC,MRO,271255,30671,55354,IPP Non-CHP,Longroad Energy Services LLC,11.8,11.8,11.8,18,660,65,47,1734.94,88.4,-96.43218567,44.39850744,2599.237288,0.113070727,1703.944444,15069.72222,0.655555556,0
43,55368,WT,NY,MAT,NPCC,14910,1686,55368,IPP Non-CHP,CHI Energy Inc,6.6,6.6,6.6,10,660,65,47,1734.94,88.4,-78.2453368,42.682782,255.4545455,0.113078471,168.6,1491,0.66,0
44,55396,WT,CA,PACC,WECC,52329,5917,55396,IPP Non-CHP,FPL Energy Green Power,16.5,16.5,16.5,22,750,63,50,1963.5,88.1,-116.5740306,33.91605132,358.6060606,0.113073057,268.9545455,2378.590909,0.75,0
45,55560,WT,WA,PACC,WECC,1585172,179237,55560,IPP Non-CHP,FPL Energy Vansycle LLC,176.9,176.9,176.9,268,660,50,47,1734.94,73.5,-118.8185892,46.01798912,1013.210854,0.113071011,668.7947761,5914.820896,0.660074627,0
46,55566,WT,MN,WNC,MRO,39584,4476,55566,IPP Non-CHP,CHI Operations Inc,1.9,1.9,1.9,3,660,65,47,1734.94,88.4,-96.43470083,44.42171828,2355.789474,0.11307599,1492,13194.66667,0.633333333,0
47,55574,WT,MN,WNC,MRO,46943,5308,55574,IPP Non-CHP,CHI Operations Inc,1.9,1.9,1.9,3,660,65,47,1734.94,88.4,-96.22224696,44.224688,2793.684211,0.113073302,1769.333333,15647.66667,0.633333333,0
48,55576,WT,MN,WNC,MRO,46918,5305,55576,IPP Non-CHP,CHI Operations Inc,1.9,1.9,1.9,3,660,65,47,1734.94,88.4,-96.43283367,47.00331033,2792.105263,0.113069611,1768.333333,15639.33333,0.633333333,0
49,55579,WT,TX,WSC,MRO,969284,109598,55579,IPP Non-CHP,Llano Estacado Wind Ranch,80,80,80,80,1000,69,57,2551.76,97.5,-101.2300212,35.46683768,1369.975,0.113071092,1369.975,12116.05,1,0
50,55581,WT,TX,WSC,TRE,4460435,504346,55581,IPP Non-CHP,FPL Energy Upton Wind LP,278,278,278,214,1300,60,64.32394366,3250.875634,92.10704225,-102.2133905,31.2437072,1814.194245,0.113071035,2356.757009,20843.15421,1.299065421,0
51,55607,WT,WY,MTN,WECC,1366505,154512,55607,Electric Utility,PacifiCorp,41.4,41.4,41.4,69,4200,82,136,14526.72,150,-106.189369,41.652471,3732.173913,0.113070936,2239.304348,19804.42029,0.6,1
52,55734,WT,KS,WNC,MRO,2909057,328930,55734,IPP Non-CHP,Gray County Wind Energy LLC,112.2,112.2,112.2,170,660,65,47,1734.94,88.4,-100.3828649,37.61025248,2931.639929,0.113071005,1934.882353,17112.1,0.66,0
53,55739,WT,OR,PACC,WECC,865589,97873,55739,IPP Non-CHP,Allete Clean Energy,49.8,49.8,49.8,83,600,60,47,1734.94,83.5,-120.2711621,45.27371599,1965.321285,0.113070984,1179.192771,10428.78313,0.6,0
54,55740,WT,WY,MTN,WECC,949208,107328,55740,IPP Non-CHP,Shell Wind Energy Inc.,50,50,50,50,1000,60,57,2551.76,88.4,-106.1086111,41.71834216,2146.56,0.113071108,2146.56,18984.16,1,0
55,55741,WT,CO,MTN,WECC,538234,60859,55741,IPP Non-CHP,Terra-Gen Operating Co-Wind,29.7,29.7,29.7,33,900,72,52,2123.72,98.1,-103.1609436,40.94412352,2049.124579,0.113071638,1844.212121,16310.12121,0.9,0
56,55742,WT,WI,ENC,RFC,460224,52038,55742,Electric Utility,Wisconsin Electric Power Co,30,30,30,20,1500,65,70.5,3903.63,100.3,-90.38321795,42.9607915,1734.6,0.113071026,2601.9,23011.2,1.5,0
57,55747,WT,TX,WSC,TRE,1934536,218740,55747,IPP Non-CHP,NWP Indian Mesa Wind Farm LP,82.5,82.5,82.5,125,660,50,47,1734.94,73.5,-102.1955672,30.94263762,2651.393939,0.113071041,1749.92,15476.288,0.66,0
58,55769,WT,NY,MAT,NPCC,88777,10038,55769,IPP Non-CHP,Madison Windpower LLC,11.5,11.5,11.5,7,1650,67,66,3421.19,100,-75.45203957,42.89491943,872.8695652,0.113069827,1434,12682.42857,1.642857143,0
59,55782,WT,MN,WNC,MRO,7438,841,55782,IPP Non-CHP,RENEW Energy Inc,1.5,1.5,1.5,1,1500,70,72,4071.5,106.1,-95.853493,43.754791,560.6666667,0.113068029,841,7438,1.5,0
60,55790,WT,NY,MAT,NPCC,648902,73372,55790,IPP Non-CHP,CHI Energy Inc,30,30,30,20,1500,66,71.075,3972.4995,101.58,-75.76103505,42.98845685,2445.733333,0.113071003,3668.6,32445.1,1.5,0
61,55795,WT,TX,WSC,TRE,1314511,148633,55795,IPP Non-CHP,Pecos Wind II LP,78,78,78,117,660,50.51724138,47,1734.94,74.0137931,-102.4043185,30.96170601,1905.551282,0.113070944,1270.367521,11235.13675,0.666666667,0
62,55796,WT,TX,WSC,TRE,1381928,156256,55796,IPP Non-CHP,Pecos Wind I LP,82,82,82,125,660,50,47,1734.94,73.5,-102.4668841,30.92635545,1905.560976,0.113071014,1250.048,11055.424,0.656,0
63,55803,WT,PA,MAT,RFC,72655,8215,55803,IPP Non-CHP,Huntsman Wind,9,9,9,6,1500,65,70.5,3903.63,100.3,-79.011551,39.97989983,912.7777778,0.113068612,1369.166667,12109.16667,1.5,0
64,55804,WT,IA,WNC,MRO,1322770,149567,55804,IPP Non-CHP,Black Hills Electric Generation LLC,80,80,80,88,900,72,52,2123.72,98.1,-93.41143046,43.36488353,1869.5875,0.113071055,1699.625,15031.47727,0.909090909,0
65,55805,WT,PA,MAT,RFC,133103,15050,55805,IPP Non-CHP,Huntsman Wind,15,15,15,10,1500,65.5,70.5,3903.63,100.8,-79.3903124,39.9213802,1003.333333,0.113070329,1505,13310.3,1.5,0
66,55809,WT,MN,WNC,MRO,34155,3862,55809,IPP Non-CHP,Kas Brothers Windfarm LLC,1.5,1.5,1.5,2,750,55,48,1809.56,78.9,-96.1139675,44.0123165,2574.666667,0.113072757,1931,17077.5,0.75,0
67,55816,WT,IA,WNC,MRO,1491168,168608,55816,IPP Non-CHP,Hawkeye Power Partners LLC,42,42,42,55,750,55,48,1809.56,78.9,-93.454853,43.0707605,4014.47619,0.113071096,3065.6,27112.14545,0.763636364,1
68,55871,WT,OR,PACC,WECC,443659,50165,55871,IPP Non-CHP,Avangrid Renewables LLC,24.5,24,24,16,1608.333333,67.22222222,74.13888889,4493.801667,104.3444444,-124.2328146,45.04574444,2047.55102,0.113071075,3135.3125,27728.6875,1.53125,0
69,55944,WT,MI,ENC,RFC,19200,2171,55944,IPP Non-CHP,Bay Windpower LLC,1.8,1.8,1.8,2,900,72,52,2123.72,98.1,-84.739941,45.7618025,1206.111111,0.113072917,1085.5,9600,0.9,0
70,55968,WT,TX,WSC,TRE,4718776,533557,55968,IPP Non-CHP,Trent Wind Farm LP,152,152,152,100,1532.323232,67.42424242,85.41919192,5765.505758,110.269697,-100.2196203,32.43442569,3510.243421,0.113071059,5335.57,47187.76,1.52,1
73,55986,WT,WV,SAT,RFC,806741,91219,55986,IPP Non-CHP,Huntsman Wind,66,66,66,44,1500,70,72,4071.5,106.1,-79.5354407,39.18528886,1382.106061,0.113070986,2073.159091,18335.02273,1.5,0
74,55989,WT,OR,PACC,WECC,1100388,124422,55989,IPP Non-CHP,FPL Energy Vansycle LLC,122.8,122.8,122.8,186,660,50,47,1734.94,73.5,-118.7873662,45.9857129,1013.208469,0.113071026,668.9354839,5916.064516,0.660215054,0
75,55992,WT,TX,WSC,TRE,4944476,559077,55992,IPP Non-CHP,Desert Sky Wind Farm LP,167.7,167.7,167.7,107,1568.131868,68.13186813,83.92307692,5545.612308,110.1989011,-102.1192252,30.92726705,3333.792487,0.113071031,5225.018692,46210.05607,1.56728972,1
76,55995,WT,ND,WNC,MRO,145925,16500,55995,Electric Utility,Basin Electric Power Coop,7.1,7.1,7.1,5,1420,72,71.3,4062.748,107.66,-101.297464,47.9738868,2323.943662,0.113071783,3300,29185,1.42,0
77,56001,WT,PA,MAT,RFC,986955,111596,56001,IPP Non-CHP,Huntsman Wind,64.5,64.5,64.5,43,1500,65,70.5,3903.63,100.3,-75.4367394,41.59685728,1730.170543,0.113071011,2595.255814,22952.44186,1.5,0
78,56002,WT,MN,WNC,MRO,50961,5762,56002,IPP Non-CHP,"Community Renewables, LLC",3.8,3.8,3.8,4,950,70,54,2290.22,96.9,-96.3088435,43.5551175,1516.315789,0.113066855,1440.5,12740.25,0.95,0
79,56010,WT,IA,WNC,MRO,2130642,240914,56010,IPP Non-CHP,"FPL Energy Hancock County Wind, LLC",98,98,98,148,676,65,47,1734.94,88.4,-93.68244307,43.01194803,2458.306122,0.113071084,1627.797297,14396.22973,0.662162162,0
80,56011,WT,CA,PACC,WECC,1003369,113452,56011,IPP Non-CHP,Shell Wind Energy Inc.,41,41,41,62,660,65,47,1734.94,88.4,-116.7329287,33.91161921,2767.121951,0.113071064,1829.870968,16183.37097,0.661290323,0
81,56012,WT,CA,PACC,WECC,1120439,126689,56012,IPP Non-CHP,Shell Wind Energy Inc.,61.5,61.5,61.5,41,1500,65,65,3318.31,97.5,-116.6210045,33.92611722,2059.98374,0.113070859,3089.97561,27327.78049,1.5,0
82,56052,WT,PA,MAT,RFC,428401,48440,56052,IPP Non-CHP,Huntsman Wind,30,30,30,20,1500,80,70.5,3903.63,115.2,-79.00325695,39.7893668,1614.666667,0.113071631,2422,21420.05,1.5,0
83,56054,WT,MN,WNC,MRO,779270,88113,56054,IPP Non-CHP,Justin McNeilus,43,43,43,41,1035.365854,68.7804878,56.82926829,2583.231707,97.13658537,-92.85051337,43.97673712,2049.139535,0.113071208,2149.097561,19006.58537,1.048780488,0
84,56075,WT,CA,PACC,WECC,3149693,356139,56075,IPP Non-CHP,"FPLE High Winds, LLC",162,162,162,90,1800,60,80,5026.55,100,-121.802868,38.1308894,2198.388889,0.11307102,3957.1,34996.58889,1.8,0
85,56081,WT,OK,WSC,MRO,956390,108140,56081,IPP Non-CHP,Blue Canyon Windpower LLC,74.3,74.3,74.3,45,1650,70,72,4071.5,106.1,-98.5740784,34.85319404,1455.450875,0.113071028,2403.111111,21253.11111,1.651111111,0
