Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,plant_id_x,operation_years_x,CAGR_netgen,plant_id_y,operation_years_y,CACR,plant_id,operation_years,CACR_uptime,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap
90,WT,AK,PACN,,18837,2130.0,90,Electric Utility,Nome Joint Utility Systems,1.8,1.8,1.8,2,150.0,33.3235294117647,19.58823529411765,425.35823529411766,43.129411764705885,-165.42970205882352,64.56760347058824,90,7,3.952401509,90,7,-0.6136342786540849,90,7,10.52266134,1183.3333333333333,0.11307533046663482,1065.0,9418.5,0.9
508,WT,CO,MTN,WECC,112709,12744.0,508,Electric Utility,City of Lamar - (CO),6.0,5.5,5.5,4,1500.0,80.0,70.5,3903.63,115.2,-102.5570008,37.8986154,508,10,-5.875657634,508,10,-0.7556499461744193,508,9,2.623894366,2124.0,0.11306994117594868,3186.0,28177.25,1.5
692,WT,WY,MTN,WECC,160021,18094.0,692,IPP Non-CHP,SRIV Partnership LLC,6.2,6.2,6.2,9,696.6666666666666,47.77777777777778,45.888888888888886,1657.2733333333335,70.72222222222223,-106.243062,41.83471922222222,692,10,0.124197246,692,10,-0.7557373098326936,692,9,7.056961401,2918.3870967741937,0.11307265921347823,2010.4444444444443,17780.11111111111,0.6888888888888889
944,WT,IL,ENC,MRO,54470,6159.0,944,Electric Utility,City of Geneseo - (IL),3.0,3.0,3.0,2,1500.0,65.0,77.0,4656.63,100.0,-90.1546705,41.426136,944,10,120.4922634,944,10,-1.1908448465959065,944,9,-1.520230565,2053.0,0.1130714154580503,3079.5,27235.0,1.5
1172,WT,IA,WNC,MRO,37198,4206.0,1172,Electric Utility,City of Osage - (IA),1.6,0.5,0.5,1,1500.0,80.0,77.0,4656.63,118.6,-92.840591,43.292492,1172,10,-1.270579502,1172,10,-0.7554352266993858,1172,9,-2.595890569,2628.75,0.11307059519328996,4206.0,37198.0,1.6
1998,WT,MN,WNC,MRO,23967,2710.0,1998,Electric Utility,City of Mountain Lake - (MN),1.2,1.2,1.2,1,1200.0,,64.0,3216.99,,-94.943382,43.940548,1998,10,-3.881611557,1998,10,-0.7558148317375779,1998,9,-4.178534061,2258.3333333333335,0.11307214086034965,2710.0,23967.0,1.2
2022,WT,MN,WNC,MRO,51578,5832.0,2022,Electric Utility,Willmar Municipal Utilities,4.0,4.0,4.0,2,2000.0,80.0,80.0,5026.55,120.1,-95.0074615,45.1580095,2022,10,1.93277123,2022,10,-0.7560898289022844,2022,9,-2.692231711,1458.0,0.11307146457792082,2916.0,25789.0,2.0
2024,WT,MN,WNC,MRO,94950,10736.0,2024,Electric Utility,City of Worthington - (MN),5.6,5.6,5.6,6,916.6666666666666,70.0,52.666666666666664,2179.22,96.3,-95.67885833333334,43.6213415,2024,9,-5.048466526,2024,9,-0.8032594296730866,2024,9,-5.048466527,1917.1428571428573,0.11307003686150606,1789.3333333333333,15825.0,0.9333333333333332
6304,WT,AK,PACN,,23428,2649.0,6304,Electric Utility,Kotzebue Electric Assn Inc,3.3,3.3,3.3,22,160.88235294117646,33.588235294117645,19.829411764705885,431.8176470588235,42.07647058823529,-162.55822570588236,66.8376984117647,6304,10,9.237639946,6304,10,-0.75532627081768,6304,9,15.07573755,802.7272727272727,0.11306983097148711,120.4090909090909,1064.909090909091,0.15
7381,WT,VT,NEW,NPCC,97019,10970.0,7381,Electric Utility,Green Mountain Power Corp,6.0,5.2,5.0,11,590.9090909090909,40.0,40.0,1256.64,60.0,-72.96306327272727,42.86176336363636,7381,10,-1.170251494,7381,10,-0.7557405937714812,7381,9,0.03880971,1828.3333333333333,0.11307063564868737,997.2727272727273,8819.90909090909,0.5454545454545454
